date,house_age,dist_to_station,latitude,price
2013.5,16.8,4066.587,24.94297,18.2
2013.167,30.1,718.2937,24.97509,55.3
2012.667,5.6,90.45606,24.97433,50
2013.5,32.8,377.8302,24.97151,38.6
2013,18,1414.837,24.95182,26.5
2012.917,20.6,2469.645,24.96108,21.8
2013.583,35.9,616.4004,24.97723,36.8
2013.417,4.5,2275.877,24.96314,29.3
2013.083,1.1,193.5845,24.96571,54.4
2013.083,17.7,837.7233,24.96334,28.8
2013.083,27.6,515.1122,24.96299,37.4
2012.917,19.5,306.5947,24.98034,42.2
2013.417,12.2,1360.139,24.95204,30.1
2012.917,6.8,379.5575,24.98343,54.4
2013.417,14.7,1717.193,24.96447,23
2012.75,15.4,205.367,24.98419,55.1
2012.75,15.6,752.7669,24.97795,37.5
2013.5,16.6,289.3248,24.98203,59.6
2013.583,33.3,196.6172,24.97701,39.4
2013.083,37.7,490.3446,24.97217,37
2012.667,0,185.4296,24.9711,37.9
2013.083,2.5,156.2442,24.96696,36.9
2013,16.9,967.4,24.98872,40.3
2013.417,36.1,519.4617,24.96305,34.7
2012.75,37.9,488.5727,24.97349,34.2
2013.5,5.6,2408.993,24.95505,24.7
2013.583,16.4,1643.499,24.95394,24.7
2012.75,15.9,289.3248,24.98203,42.1
2012.75,16.1,4066.587,24.94297,12.9
2013.25,17.3,444.1334,24.97501,43.9
2013.333,14.8,393.2606,24.96172,7.6
2013.083,0,274.0144,24.9748,52.2
2013.417,10.5,279.1726,24.97528,51.6
2012.833,0,292.9978,24.97744,71
2013.417,35.3,614.1394,24.97913,33.1
2013.5,32.3,109.9455,24.98182,48
2012.917,27.1,4412.765,24.95032,17.4
2013.083,14,438.8513,24.97493,42.6
2013.417,13.1,1164.838,24.99156,32.2
2012.75,38,461.7848,24.97229,35.7
2012.833,4,2180.245,24.96324,28.6
2012.75,34.4,512.7871,24.98748,34.1
2013.417,19.8,640.6071,24.97017,37.5
2013.25,3.8,383.8624,24.98085,60.7
2012.833,18,6306.153,24.95743,15
2013.167,20.9,2185.128,24.96322,25.7
2013.5,34.6,3085.17,24.998,41.2
2013.083,13.2,150.9347,24.96725,48.1
2013.083,32,1156.777,24.94935,12.8
2013.583,17.4,6488.021,24.95719,11.2
2013.417,13.1,561.9845,24.98746,45.9
2013.583,6.6,90.45606,24.97433,59
2012.833,20.5,2185.128,24.96322,25.6
2013.5,13.6,319.0708,24.96495,47.4
2013.417,16.4,289.3248,24.98203,51
2012.833,5.1,1867.233,24.98407,35.6
2013.583,27.3,337.6016,24.96431,36.5
2012.917,30,1013.341,24.99006,22.8
2013.083,41.3,124.9912,24.96674,60.7
2013.25,17.8,1783.18,24.96731,23.7
2012.667,12.4,1712.632,24.96412,31.3
2013.25,21.7,1157.988,24.96165,23.8
2013.417,8.4,1962.628,24.95468,23.5
2013.083,7.1,451.2438,24.97563,57.1
2012.667,15.6,289.3248,24.98203,46.1
2012.667,3.1,383.8624,24.98085,56.2
2013.25,9.1,1402.016,24.98569,42.3
2012.75,0,208.3905,24.95618,44
2013.417,31.4,592.5006,24.9726,34.1
2013,16.5,4082.015,24.94155,12.8
2013.417,18.5,2175.744,24.9633,28.1
2013.417,14.7,1717.193,24.96447,30.5
2013.5,5.2,390.5684,24.97937,52.2
2012.75,7.8,104.8101,24.96674,38.4
2013.417,19.2,616.4004,24.97723,39.6
2013.417,24.2,4605.749,24.94684,13.4
2013.417,28.2,330.0854,24.97408,43.4
2013.167,1.1,193.5845,24.96571,48.6
2012.917,21.2,512.5487,24.974,42.5
2012.917,31.7,1159.454,24.9496,13.8
2013.083,36.6,488.8193,24.97015,38.3
2013.083,13.3,336.0532,24.95776,42.4
2013.5,8.5,104.8101,24.96674,55.5
2012.833,5,390.5684,24.97937,43.1
2013.5,19.2,557.478,24.97419,47
2013.583,13.3,561.9845,24.98746,47.3
2012.667,12.9,492.2313,24.96515,42.5
2012.917,28,372.6242,24.97838,40.8
2013.417,17.2,390.5684,24.97937,40.1
2012.917,14.7,1935.009,24.96386,22.9
2013.083,41.3,401.8807,24.98326,35.1
2013.5,38.3,439.7105,24.97161,38.4
2013.083,8.1,104.8101,24.96674,51.6
2013.417,28.6,197.1338,24.97631,42.5
2013.167,13.3,492.2313,24.96515,31.3
2013.333,39.7,333.3679,24.98016,32.4
2013.333,7.1,379.5575,24.98343,49.8
2012.667,12.6,383.2805,24.96735,42.5
2013.5,5.3,259.6607,24.97585,63.2
2013.25,16.1,815.9314,24.97886,35.6
2013,39.6,480.6977,24.97353,38.8
2013.5,4.9,387.7721,24.98118,44.7
2013.5,31.7,5512.038,24.95095,18.8
2013.5,4,2147.376,24.96299,30.7
2013.25,9.1,1402.016,24.98569,43.2
2013.25,1.1,193.5845,24.96571,49
2012.75,11.4,390.5684,24.97937,46.8
2013.333,6.3,90.45606,24.97433,58.1
2013,30.8,377.7956,24.96427,36.8
2012.833,12.5,561.9845,24.98746,42
2013.167,43.8,57.58945,24.9675,42.7
2013.25,18.8,390.9696,24.97923,40.6
2012.667,30.9,161.942,24.98353,39.7
2013.25,3.8,383.8624,24.98085,55
2013,18.3,82.88643,24.983,46.6
2013.417,13.6,492.2313,24.96515,43.8
2013.167,32.6,493.657,24.96968,40.6
2013.417,7.5,639.6198,24.97258,40.8
2013.5,16.4,3780.59,24.93293,45.1
2013.417,21.2,2185.128,24.96322,27.7
2013.333,16.7,4082.015,24.94155,16.7
2013.333,37.3,587.8877,24.97077,37.4
2013.25,16.2,289.3248,24.98203,51.4
2013.083,16.2,289.3248,24.98203,55
2012.75,0,338.9679,24.96853,50.8
2013.5,11.8,533.4762,24.97445,40.3
2012.833,18.4,2674.961,24.96143,25.7
2013.333,21.7,1055.067,24.96211,23.1
2012.833,18,373.3937,24.9866,39.5
2012.667,20.4,2469.645,24.96108,23.8
2013.5,13.5,2147.376,24.96299,23.6
2012.917,17.7,451.6419,24.96945,26.5
2013,5.2,2408.993,24.95505,22.3
2012.833,34.8,175.6294,24.97347,40.9
2013.25,13.3,250.631,24.96606,42
2012.833,15,1828.319,24.96464,20.9
2013.417,3.9,2147.376,24.96299,31.7
2013,33.5,563.2854,24.98223,46.6
2013.25,5.4,390.5684,24.97937,49.5
2013.583,35.9,640.7391,24.97563,61.5
2013.333,25.6,4519.69,24.94826,15.6
2013.417,38.5,216.8329,24.98086,41
2012.917,8.9,1406.43,24.98573,48
2012.833,13.9,4573.779,24.94867,19.2
2013.25,16.5,323.655,24.97841,49.3
2012.75,13,492.2313,24.96515,40.5
2012.75,17.7,350.8515,24.97544,37.4
2012.917,32.4,265.0609,24.98059,40.2
2013.167,1.1,193.5845,24.96571,45.1
2013.417,6.4,90.45606,24.97433,59.5
2013.083,42.7,443.802,24.97927,35.3
2012.667,1.5,23.38284,24.96772,47.7
2013.417,18.2,350.8515,24.97544,43.1
2013.333,17.6,1805.665,24.98672,31.1
2013.167,10,942.4664,24.97843,43.5
2012.833,5.9,90.45606,24.97433,52.7
2012.833,0,274.0144,24.9748,45.4
2013.417,16.4,389.8219,24.96412,40.6
2013.25,37.8,590.9292,24.97153,39.7
2012.667,1.1,329.9747,24.98254,51.8
2013,8.1,104.8101,24.96674,52.5
2012.833,0,185.4296,24.9711,55.3
2013.167,26.6,482.7581,24.97433,37.5
2013.417,17.4,995.7554,24.96305,25.5
2013.167,39.2,424.7132,24.97429,30
2013.167,12,1360.139,24.95204,25.3
2013.5,15.2,3771.895,24.93363,29.3
2012.833,0,185.4296,24.9711,55.2
2013.25,29.6,535.527,24.98092,37.5
2012.667,34.9,179.4538,24.97349,39.7
2013.5,25.3,1583.722,24.96622,30.6
2012.833,15.7,815.9314,24.97886,38.1
2013.333,9,1402.016,24.98569,38.5
2012.917,38.3,642.6985,24.97559,31.5
2013.25,22.2,379.5575,24.98343,44
2013.417,21.7,463.9623,24.9703,42
2013.583,2.7,533.4762,24.97445,53.9
2013.5,35.3,616.5735,24.97945,42.3
2012.667,3.1,577.9615,24.97201,47.7
2013.583,30.6,431.1114,24.98123,48.5
2012.667,32.7,392.4459,24.96398,30.5
2012.833,1.8,1455.798,24.9512,27
2012.917,32,84.87882,24.98298,37.9
2013.583,32.1,1438.579,24.97419,27
2013.5,13.6,492.2313,24.96515,48
2012.667,29.1,506.1144,24.97845,40.3
2013.417,33.5,1978.671,24.98674,23.5
2013.417,0,185.4296,24.9711,45.5
2013.25,0,292.9978,24.97744,70.1
2013.5,14.4,169.9803,24.97369,50.2
2013.5,8.5,104.8101,24.96674,56.8
2012.917,17.3,2261.432,24.96182,29.5
2013.417,9.7,421.479,24.98246,49.3
2012.75,0,185.4296,24.9711,52.2
2012.667,7.1,2175.03,24.96305,32.1
2012.667,5.7,90.45606,24.97433,53.5
2012.75,12.5,1144.436,24.99176,34.1
2013.167,21.3,537.7971,24.97425,42.2
2013.167,1.9,372.1386,24.97293,40.5
2013.417,18.2,451.6419,24.96945,31.6
